company_name,ratings,reviews,company_type,Employee,Headquarters
Blue Dart Express,4.1,2.1k,Logistics,10k-50k Employees,Mumbai +239 more
Patanjali Ayurved,4.1,2k,FMCG,1k-5k Employees,Haridwar +260 more
Tractors and Farm Equipment,4.1,2k,Industrial Machinery,10k-50k Employees,Chennai +167 more
G4S,4.1,2k,Law Enforcement & Security,1 Lakh+ Employees,Gurgaon/Gurugram +139 more
Fortis Healthcare,4.1,2k,Healthcare,1k-5k Employees,Gurgaon/Gurugram +62 more
Capgemini Engineering,3.6,2.1k,No information available,No information available,No information available
Societe Generale Global Solution Centre,3.9,2.1k,Financial Services,1k-5k Employees,Paris +17 more
State Street Syntel,3.7,2k,Financial Services,501-1k Employees,Mumbai +21 more
BlackBuck,3.9,2k,Internet,1k-5k Employees,Bangalore +321 more
TVS Supply Chain Solutions,4.0,2k,Logistics,1k-5k Employees,Chennai +133 more
Britannia,4.1,2k,FMCG,1k-5k Employees,Bengaluru +240 more
Micro Labs,3.7,2k,Pharma,10k-50k Employees,Bangalore/Bengaluru +123 more
Fiserv,3.6,2k,FinTech,5k-10k Employees,Brookfield +29 more
KFintech,3.7,2k,FinTech,5k-10k Employees,Hyderabad +102 more
Voltas,4.1,2k,Consumer Electronics & Appliances,1k-5k Employees,Mumbai +175 more
